종목코드,종목명
60310,3S
95570,AJ네트웍스
68400,AJ렌터카
6840,AK홀딩스
54620,APS홀딩스
265520,AP시스템
211270,AP위성
27410,BGF
282330,BGF리테일
138930,BNK금융지주
1460,BYC
1465,BYC우
32040,C&S자산관리
1040,CJ
79160,CJ CGV
130960,CJ E&M
120,CJ대한통운
11150,CJ씨푸드
11155,CJ씨푸드1우
35760,CJ오쇼핑
1045,CJ우
97950,CJ제일제당
97955,CJ제일제당 우
51500,CJ프레시웨이
37560,CJ헬로
58820,CMG제약
23460,CNH
65770,CS
83660,CSA 코스믹
590,CS홀딩스
12030,DB
16610,DB금융투자
45890,DB라이텍
5830,DB손해보험
990,DB하이텍
995,DB하이텍1우
139130,DGB금융지주
68790,DMS
4840,DRB동일
241520,DSC인베스트먼트
155660,DSR
69730,DSR제강
17940,E1
37370,EG
79190,EMW
7700,F&F
130500,GH신소재
114090,GKL
32860,GMR 머티리얼즈
900290,GRT
78930,GS
83450,GST
6360,GS건설
1250,GS글로벌
7070,GS리테일
78935,GS우
28150,GS홈쇼핑
78150,HB테크놀러지
39570,HDC아이콘트롤스
89470,HDC현대EP
36640,HRS
225430,IBKS제3호스팩
254120,IBKS제5호스팩
264850,IBKS제6호스팩
276920,IBKS제7호스팩
277410,IBKS제8호스팩
3560,IHQ
95340,ISC
99520,ITX엠투엠
175330,JB금융지주
950170,JTC
234080,JW생명과학
67290,JW신약
1060,JW중외제약
1067,JW중외제약2우B
1065,JW중외제약우
96760,JW홀딩스
35900,JYP Ent.
105560,KB금융
24120,KB오토시스
2380,KCC
21320,KCC건설
36670,KCI
9070,KCTC
9440,KC그린홀딩스
112190,KC산업
119650,KC코트렐
44180,KD건설
92220,KEC
151860,KG ETS
46440,KG모빌리언스
35600,KG이니시스
1390,KG케미칼
60720,KH바텍
1940,KISCO홀딩스
83470,KJ프리텍
122450,KMH
52900,KMH하이텍
58400,KNN
114450,KPX생명과학
25000,KPX케미칼
92230,KPX홀딩스
40,KR모터스
44450,KSS해운
30200,KT
33780,KT&G
30210,KTB투자증권
36030,KTH
58850,KTcs
60370,KT서브마린
93050,LF
3550,LG
34220,LG디스플레이
1120,LG상사
51900,LG생활건강
51905,LG생활건강우
3555,LG우
32640,LG유플러스
11070,LG이노텍
66570,LG전자
66575,LG전자우
108670,LG하우시스
108675,LG하우시스우
51910,LG화학
51915,LG화학우
79550,LIG넥스원
6260,LS
680,LS네트웍스
10120,LS산전
229640,LS전선아시아
23150,MH에탄올
65150,MP그룹
219550,MP한강
35420,NAVER
160550,NEW
53290,NE능률
104200,NHN벅스
181710,NHN엔터테인먼트
60250,NHN한국사이버결제
5940,NH투자증권
5945,NH투자증권우
34310,NICE
30190,NICE평가정보
8260,NI스틸
4250,NPC
4255,NPC우
10060,OCI
24940,PN풍년
5490,POSCO
218410,RFHIC
91340,S&K폴리텍
100840,S&TC
64960,S&T모티브
3570,S&T중공업
36530,S&T홀딩스
10950,S-Oil
10955,S-Oil우
19550,SBI인베스트먼트
950110,SBI핀테크솔루션즈
34120,SBS
101060,SBS미디어홀딩스
46140,SBS콘텐츠허브
36120,SCI평가정보
99220,SDN
36540,SFA반도체
255220,SG
40610,SG&G
49470,SGA
184230,SGA솔루션즈
224880,SGA임베디드
4060,SG세계물산
1380,SG충방
2360,SH에너지화학
9160,SIMPAC
90730,SIMPAC Metal
123700,SJM
25530,SJM홀딩스
34730,SK
232330,SK3호스팩
11790,SKC
57500,SKC 솔믹스
178920,SKC코오롱PI
18670,SK가스
1740,SK네트웍스
1745,SK네트웍스우
6120,SK디스커버리
6125,SK디스커버리우
210980,SK디앤디
36490,SK머티리얼즈
52260,SK바이오랜드
03473K,SK우
96770,SK이노베이션
96775,SK이노베이션우
1510,SK증권
1515,SK증권우
285130,SK케미칼
28513K,SK케미칼우
17670,SK텔레콤
660,SK하이닉스
48550,SM C&C
5610,SPC삼립
123260,STC
11810,STX
77970,STX엔진
71970,STX중공업
84870,TBH글로벌
2710,TCC동양
89230,THE E&M
32540,TJ미디어
48770,TPC
284610,TS트릴리온
38340,UCI
24070,WISCOM
52300,W홀딩컴퍼니
37270,YG PLUS
40300,YTN
51390,YW
52220,iMBC
79940,가비아
78890,가온미디어
500,가온전선
192410,감마누
24840,갑을메탈
860,강남제비스코
217730,강스템바이오텍
35250,강원랜드
11420,갤럭시아에스엠
94480,갤럭시아컴즈
63080,게임빌
39240,경남스틸
53950,경남제약
2100,경농
9450,경동나비엔
267290,경동도시가스
12320,경동인베스트
11040,경동제약
50,경방
214390,경보제약
12610,경인양행
9140,경인전자
24910,경창산업
13580,계룡건설
12200,계양전기
12205,계양전기우
4200,고려개발
2140,고려산업
198440,고려시멘트
49720,고려신용정보
10130,고려아연
2240,고려제강
14570,고려제약
98460,고영
38530,골드퍼시픽
227950,골든브릿지제4호스팩
1290,골든브릿지증권
900280,골든센츄리
215000,골프존
121440,골프존뉴딘홀딩스
76340,관악산업
9290,광동제약
14200,광림
17040,광명전기
17900,광전자
37710,광주신세계
192530,광주은행
26910,광진실업
90150,광진윈텍
267320,교보7호스팩
242040,교보비엔케이스팩
30610,교보증권
223220,구름게임즈앤컴퍼니
53270,구영테크
7690,국도화학
5320,국동
1140,국보
66620,국보디자인
43650,국순당
6050,국영지앤엠
60480,국일신동
78130,국일제지
2720,국제약품
243870,굿센
19010,그랜드백화점
83420,그린케미칼
186230,그린플러스
14530,극동유화
272420,극동자동화
900070,글로벌에스엠
204620,글로벌텍스프리
19660,글로본
14280,금강공업
14285,금강공업우
53260,금강철강
8870,금비
1570,금양
2990,금호산업
2995,금호산업우
11780,금호석유
11785,금호석유우
214330,금호에이치티
1210,금호전기
73240,금호타이어
36190,금화피에스시
49080,기가레인
35460,기산텔레콤
92440,기신정기
270,기아차
24110,기업은행
13700,까뮤이앤씨
4540,깨끗한나라
4545,깨끗한나라우
187790,나노
74610,나노메딕스
151910,나노스
121600,나노신소재
39860,나노엔텍
91970,나노캠텍
244880,나눔테크
51490,나라엠앤디
190510,나무가
167380,나무기술
89600,나스미디어
138610,나이벡
130580,나이스디앤비
36800,나이스정보통신
1260,남광토건
8350,남선알미늄
8355,남선알미우
4270,남성
3920,남양유업
3925,남양유업우
2070,남영비비안
25860,남해화학
91590,남화토건
168330,내츄럴엔도텍
72770,네오디안테크놀로지
212560,네오오토
95660,네오위즈
42420,네오위즈홀딩스
85910,네오티스
92730,네오팜
153460,네이블
7390,네이처셀
86220,네추럴FNP
33640,네패스
87730,네패스신소재
5720,넥센
5725,넥센우
2350,넥센타이어
2355,넥센타이어1우B
73070,넥센테크
81970,넥스지
89140,넥스턴
65170,넥스트BT
139670,넥스트리밍
137940,넥스트아이
92600,넥스트칩
41140,넥슨지티
217270,넵튠
225570,넷게임즈
251270,넷마블
90350,노루페인트
90355,노루페인트우
320,노루홀딩스
325,노루홀딩스우
229500,노브메타파마
6280,녹십자
144510,녹십자랩셀
31390,녹십자셀
142280,녹십자엠에스
5250,녹십자홀딩스
5257,녹십자홀딩스2우
65560,녹원씨엔아이
4370,농심
72710,농심홀딩스
54050,농우바이오
40160,누리텔레콤
69140,누리플랜
126870,뉴로스
60260,뉴보텍
12340,뉴인텍
222040,뉴트리바이오텍
144960,뉴파워프라즈마
900100,뉴프라이드
85670,뉴프렉스
119860,다나와
64260,다날
93640,다믈멀티미디어
39560,다산네트웍스
58730,다스코
23590,다우기술
32190,다우데이타
68240,다원시스
271850,다이오진
19680,대교
19685,대교우B
6370,대구백화점
4130,대덕GDS
4135,대덕GDS우
8060,대덕전자
178600,대동고려삼
490,대동공업
20400,대동금속
8830,대동기어
48470,대동스틸
8110,대동전자
4780,대륙제관
5750,대림B&Co
210,대림산업
215,대림산업우
4440,대림씨엔에스
17650,대림제지
6570,대림통상
7720,대명코퍼레이션
78140,대봉엘에스
1680,대상
1685,대상우
84690,대상홀딩스
84695,대상홀딩스우
36480,대성미생물
128820,대성산업
117580,대성에너지
25440,대성엘텍
27830,대성창투
104040,대성파인텍
16710,대성홀딩스
253590,대신밸런스제3호스팩
262830,대신밸런스제4호스팩
20180,대신정보통신
3540,대신증권
3547,대신증권2우B
3545,대신증권우
45390,대아티아이
9190,대양금속
108380,대양전기공업
6580,대양제지
14160,대영포장
47040,대우건설
9320,대우부품
42660,대우조선해양
3090,대웅
69620,대웅제약
7680,대원
430,대원강업
48910,대원미디어
5710,대원산업
6340,대원전선
6345,대원전선우
3220,대원제약
24890,대원화성
2880,대유에이텍
71460,대유위니아
300,대유플러스
120240,대정화금
3310,대주산업
114920,대주이엔티
78600,대주전자재료
65690,대진디엠피
12800,대창
15230,대창단조
96350,대창솔루션
140520,대창스틸
131220,대한과학
10170,대한광통신
54670,대한뉴팜
1070,대한방직
23910,대한약품
6650,대한유화
1440,대한전선
84010,대한제강
1790,대한제당
1799,대한제당3우B
1795,대한제당우
1130,대한제분
3490,대한항공
3495,대한항공우
5880,대한해운
3830,대한화섬
16090,대현
69460,대호에이엘
21040,대호피앤씨
21045,대호피앤씨우
67080,대화제약
192080,더블유게임즈
35290,더블유에프엠
12510,더존비즈온
213420,덕산네오룩스
77360,덕산하이메탈
4830,덕성
4835,덕성우
90410,덕신하우징
24900,덕양산업
263600,덕우전자
194480,데브시스터즈
263800,데이타솔루션
199150,데이터스트림즈
139050,데일리블록체인
183410,데카시스템
17680,데코앤이
206560,덱스터
145720,덴티움
67990,도이치모터스
2150,도화엔지니어링
6620,동구바이오제약
100130,동국S&C
5160,동국산업
1620,동국실업
75970,동국알앤에스
1230,동국제강
86450,동국제약
23450,동남합성
4140,동방
99410,동방선기
7590,동방아그로
5960,동부건설
5965,동부건설우
226440,동부스팩3호
281740,동부스팩5호
230490,동부제4호스팩
16380,동부제철
16385,동부제철우
83370,동북아12호
83380,동북아13호
26960,동서
2210,동성제약
102260,동성코퍼레이션
33500,동성화인텍
5190,동성화학
25950,동신건설
640,동아쏘시오홀딩스
170900,동아에스티
88130,동아엘텍
28100,동아지질
282690,동아타이어
41930,동아화성
1520,동양
1527,동양2우B
1529,동양3우B
84670,동양고속
30790,동양네트웍스
2900,동양물산
82640,동양생명
60380,동양에스텍
1525,동양우
79960,동양이엔피
8970,동양철관
228340,동양파일
92780,동양피스톤
104460,동양피엔에프
88910,동우팜투테이블
94170,동운아나텍
3580,동원
49770,동원F&B
13120,동원개발
18500,동원금속
6040,동원산업
30720,동원수산
14820,동원시스템즈
14825,동원시스템즈우
163560,동일고무벨트
109860,동일금속
32960,동일기연
1530,동일방직
4890,동일산업
2690,동일제강
23790,동일철강
5290,동진쎄미켐
25900,동화기업
20,동화약품
150,두산
157,두산2우B
11160,두산건설
241560,두산밥캣
82740,두산엔진
155,두산우
42670,두산인프라코어
34020,두산중공업
16740,두올
78590,두올산업
270020,두원석재
73190,듀오백
176750,듀켐바이오
30350,드래곤플라이
203650,드림시큐리티
220110,드림티엔터테인먼트
217620,디딤
187870,디바이스이엔지
66670,디스플레이텍
24090,디씨엠
3160,디아이
92200,디아이씨
214680,디알텍
263720,디앤씨미디어
109740,디에스케이
33430,디에스티
90710,디에스티로봇
131030,디에이치피코리아
196490,디에이테크놀로지
66900,디에이피
127120,디엔에이링크
92070,디엔에프
101000,디엠씨
134580,디엠티
39840,디오
13570,디와이
210540,디와이파워
79810,디이엔티
113810,디젠스
43360,디지아이
197140,디지캡
106520,디지탈옵틱
68930,디지털대성
33130,디지틀조선
33310,디케이디앤아이
105740,디케이락
7340,디티알오토모티브
187220,디티앤씨
26890,디피씨
131180,딜리
42510,라온시큐어
232680,라온테크
50120,라이브플렉스
171120,라이온켐텍
69540,라이트론
285770,라이프사이언스테크놀로지
115390,락앤락
200350,래몽래인
171010,램테크놀러지
84650,랩지노믹스
92590,럭스피아
141080,레고켐바이오
60300,레드로버
38390,레드캡투어
228850,레이언스
47440,레이젠
238120,로고스바이오
215100,로보로보
90360,로보스타
238500,로보쓰리
900260,로스웰
67730,로지시스
71280,로체시스템즈
32350,롯데관광개발
400,롯데손해보험
23530,롯데쇼핑
4000,롯데정밀화학
280360,롯데제과
4990,롯데지주
00499K,롯데지주우
5300,롯데칠성
5305,롯데칠성우
11170,롯데케미칼
2270,롯데푸드
71840,롯데하이마트
38060,루멘스
82800,루미마이크로
162120,루켄테크놀러지스
85370,루트로닉
08537M,루트로닉3우C
60240,룽투코리아
58470,리노공업
39980,리노스
16100,리더스코스메틱
197210,리드
12700,리드코프
131100,리켐
277070,린드먼아시아
42500,링네트
219420,링크제니시스
27740,마니커
98120,마이크로컨텍솔
147760,마이크로프랜드
35480,마제스타
38290,마크로젠
204320,만도
1080,만호제강
267980,매일유업
5990,매일홀딩스
127160,매직마이크로
93520,매커스
141070,맥스로텍
88980,맥쿼리인프라
94800,맵스리얼티1
67280,멀티캠퍼스
72870,메가스터디
215200,메가스터디교육
133750,메가엠디
200580,메디쎄이
41920,메디아나
233250,메디안디노스틱
236340,메디젠휴먼케어
86900,메디톡스
78160,메디포스트
65650,메디프론
15540,메디플란트
138040,메리츠금융지주
8560,메리츠종금증권
60,메리츠화재
21880,메이슨캐피탈
140410,메지온
241770,메카로
90370,메타랩스
59210,메타바이오메드
58110,멕아이씨에스
96640,멜파스
17180,명문제약
267060,명진홀딩스
12690,모나리자
5360,모나미
149940,모다
80420,모다이노칩
80160,모두투어
204210,모두투어리츠
100030,모바일리더
87260,모바일어플라이언스
101330,모베이스
250060,모비스
33200,모아텍
9680,모토닉
118990,모트렉스
6920,모헨즈
9580,무림P&P
1810,무림SP
9200,무림페이퍼
33920,무학
8420,문배철강
161570,미동앤씨네마
279600,미디어젠
28040,미래SCI
95500,미래나노텍
25560,미래산업
218150,미래생명자원
7120,미래아이앤지
6800,미래에셋대우
00680K,미래에셋대우2우B
265480,미래에셋대우스팩1호
6805,미래에셋대우우
85620,미래에셋생명
239340,미래에셋제5호스팩
49950,미래컴퍼니
213090,미래테크놀로지
207760,미스터블루
225850,미애부
2840,미원상사
268280,미원에스씨
107590,미원홀딩스
134380,미원화학
3650,미창석유
59090,미코
214610,미코바이오메드
201490,미투온
214180,민앤지
155900,바다로19호
206640,바디텍메드
18700,바른손
35620,바른손이앤에이
64520,바른전자
29480,바른테크놀로지
53030,바이넥스
84990,바이로메드
64550,바이오니아
222810,바이오닉스진
208710,바이오로그디바이스
142760,바이오리더스
65940,바이오빌
38460,바이오스마트
281310,바이오시네틱스
44480,바이오제네틱스
216400,바이오코아
86040,바이오톡스텍
199290,바이오프로테크
32980,바이온
222160,바이옵트로
43150,바텍
3610,방림
267790,배럴
1340,백광산업
14580,백광소재
46310,백금T&A
35150,백산
36620,버추얼텍
2410,범양건영
177350,베셀
96300,베트남개발1
7210,벽산
225530,보광산업
250000,보라티알
2760,보락
14100,보령메디앙스
3850,보령제약
6910,보성파워텍
890,보해양조
242420,본느
206950,볼빅
3000,부광약품
1270,부국증권
1275,부국증권우
26940,부국철강
14470,부방
15350,부산가스
11390,부산산업
5030,부산주공
8470,부스타
100120,뷰웍스
66980,브레인콘텐츠
64480,브리지텍
251630,브이원텍
33560,블루콤
126340,비나텍
121800,비덴트
148140,비디아이
100220,비상교육
200780,비씨월드제약
141000,비아트론
90460,비에이치
83650,비에이치아이
215050,비엔디생활건강
86670,비엠티
138580,비즈니스온
82920,비츠로셀
54220,비츠로시스
42370,비츠로테크
32850,비트컴퓨터
148780,비플라이소프트
93190,빅솔론
65450,빅텍
210120,빅텐츠
5180,빙그레
72950,빛샘전자
266170,뿌리깊은나무들
143240,사람인에이치알
3960,사조대림
8040,사조동아원
7160,사조산업
14710,사조씨푸드
6090,사조오양
79660,사조해표
100090,삼강엠앤티
5090,삼광글라스
122350,삼기오토모티브
14970,삼륭물산
18310,삼목에스폼
53700,삼보모터스
9620,삼보산업
23600,삼보판지
111870,삼본정밀전자
1470,삼부토건
6400,삼성SDI
6405,삼성SDI우
6660,삼성공조
28260,삼성물산
02826K,삼성물산우B
207940,삼성바이오로직스
32830,삼성생명
18260,삼성에스디에스
28050,삼성엔지니어링
9150,삼성전기
9155,삼성전기우
5930,삼성전자
5935,삼성전자우
1360,삼성제약
10140,삼성중공업
10145,삼성중공우
16360,삼성증권
68290,삼성출판사
29780,삼성카드
810,삼성화재
815,삼성화재우
6110,삼아알미늄
9300,삼아제약
145990,삼양사
145995,삼양사우
3230,삼양식품
225190,삼양옵틱스
2170,삼양통상
272550,삼양패키징
70,삼양홀딩스
75,삼양홀딩스우
2810,삼영무역
54540,삼영엠텍
65570,삼영이엔씨
5680,삼영전자
3720,삼영화학
82660,삼우엠스
23000,삼원강재
73640,삼원테크
4380,삼익THK
2450,삼익악기
32280,삼일
2290,삼일기업공사
520,삼일제약
9770,삼정펄프
37460,삼지전자
32750,삼진
54090,삼진엘앤디
5500,삼진제약
250,삼천당제약
4690,삼천리
24950,삼천리자전거
38500,삼표시멘트
17480,삼현철강
1880,삼호
10960,삼호개발
46390,삼화네트웍스
4450,삼화왕관
9470,삼화전기
11230,삼화전자
1820,삼화콘덴서
390,삼화페인트
27580,상보
38540,상상인
41650,상신브레이크
91580,상신이디피
263810,상신전자
89980,상아프론테크
42940,상지카일룸
42600,새로닉스
75180,새론오토모티브
263540,샘코
7540,샘표
248170,샘표식품
38070,서린바이오
6730,서부T&D
79650,서산
100660,서암기계공업
7860,서연
200880,서연이화
12860,서연전자
19770,서연탑메탈
17390,서울가스
43710,서울리거
46890,서울반도체
4410,서울식품
4415,서울식품우
63170,서울옥션
27040,서울전자통신
18680,서울제약
21050,서원
93920,서원인텍
189860,서전기전
178320,서진시스템
122690,서진오토모티브
140070,서플러스글로벌
11370,서한
65710,서호전기
8490,서흥
35890,서희건설
3100,선광
123420,선데이토즈
7610,선도전기
67370,선바이오
171090,선익시스템
136490,선진
2820,선창산업
14620,성광벤드
37350,성도이엔지
14910,성문전자
14915,성문전자우
3080,성보화학
4980,성신양회
4987,성신양회2우B
4989,성신양회3우B
4985,성신양회우
11300,성안
81580,성우전자
45300,성우테크론
15750,성우하이텍
5980,성지건설
180,성창기업지주
80470,성창오토텍
43260,성호전자
2420,세기상사
53060,세동
17510,세명전기
214310,세미콘라이트
4360,세방
4365,세방우
4490,세방전지
11560,세보엠이씨
110660,세신버팔로
1430,세아베스틸
3030,세아제강
19440,세아특수강
58650,세아홀딩스
13000,세우글로벌
100700,세운메디칼
234100,세원
24830,세원물산
91090,세원셀론텍
21820,세원정공
67830,세이브존I&C
33530,세종공업
135270,세종머티리얼즈
36630,세종텔레콤
39310,세중
75580,세진중공업
67770,세진티에스
53450,세코닉스
27970,세하
145210,세화아이엠씨
252500,세화피앤씨
49180,셀루메드
108860,셀바스AI
208370,셀바스헬스케어
68270,셀트리온
68760,셀트리온제약
91990,셀트리온헬스케어
53110,소리바다
32680,소프트센
32685,소프트센우
210610,소프트캠프
66910,손오공
43100,솔고바이오
154040,솔루에타
35610,솔본
36830,솔브레인
230980,솔트웍스
4430,송원산업
86980,쇼박스
50960,수산아이앤티
17550,수산중공업
84180,수성
253840,수젠텍
2200,수출포장
185190,수프로
236200,슈프리마
94840,슈프리마에이치큐
192440,슈피겐코리아
99440,스맥
53210,스카이라이프
33790,스카이문스테크놀로지
159910,스킨앤스킨
115570,스타플렉스
258540,스템랩
253450,스튜디오드래곤
87220,스틸플라워
245030,스페이스솔루션
13810,스페코
39670,스포츠서울
49830,승일
20710,시공테크
33170,시그네틱스
260870,시그넷이브이
246830,시냅스엠
48870,시너지이노베이션
25320,시노펙스
134790,시디즈
269620,시스웍
131090,시큐브
232830,시큐센
16590,신대양제지
29530,신도리코
4970,신라교역
1000,신라섬유
25870,신라에스지
215600,신라젠
65350,신성델타테크
11930,신성이엔지
5390,신성통상
4170,신세계
35510,신세계 I&C
34300,신세계건설
31430,신세계인터내셔날
31440,신세계푸드
6880,신송홀딩스
56000,신스타임즈
2800,신신제약
5800,신영와코루
1720,신영증권
1725,신영증권우
9270,신원
9275,신원우
17000,신원종합개발
2700,신일산업
12790,신일제약
138070,신진에스엠
19170,신풍제약
19175,신풍제약우
2870,신풍제지
5450,신한
257730,신한제3호스팩
277480,신한제4호스팩
55550,신한지주
1770,신화실업
56700,신화인터텍
187270,신화콘텍
4080,신흥
243840,신흥에스이씨
108320,실리콘웍스
222800,심텍
36710,심텍홀딩스
160980,싸이맥스
102280,쌍방울
3410,쌍용양회
3415,쌍용양회우
10280,쌍용정보통신
3620,쌍용차
4770,써니전자
217320,썬테크
122800,썬텍
208640,썸에이지
222420,쎄노텍
37760,쎄니트
136510,쎄미시스코
99320,쎄트렉아이
49960,쎌바이오텍
50890,쏠리드
66790,씨씨에스
222080,씨아이에스
4920,씨아이테크
236030,씨알푸드
103660,씨앗
245450,씨앤에스링크
264660,씨앤지하이테크
112610,씨에스윈드
115530,씨엔플러스
225330,씨엠에스에듀
115480,씨유메디칼
189330,씨이랩
96530,씨젠
900120,씨케이에이치
101240,씨큐브
47920,씨트리
189540,씨티네트웍스
60590,씨티씨바이오
36170,씨티엘
260930,씨티케이코스메틱스
13990,아가방컴퍼니
123860,아나패스
8700,아남전자
58220,아리온
2790,아모레G
2795,아모레G우
90430,아모레퍼시픽
90435,아모레퍼시픽우
52710,아모텍
74430,아미노로직스
92040,아미코젠
83930,아바코
149950,아바텍
36010,아비코전자
2030,아세아
183190,아세아시멘트
2310,아세아제지
50860,아세아텍
246720,아스타
67390,아스트
127710,아시아경제
20560,아시아나항공
154030,아시아종묘
227610,아우딘퓨쳐스
143160,아이디스
54800,아이디스홀딩스
60570,아이리버
122900,아이마켓코리아
99190,아이센스
214430,아이쓰리시스템
40910,아이씨디
68940,아이씨케이
52860,아이앤씨
10780,아이에스동서
69920,아이에스이커머스
38880,아이에이
79440,아이엔지생명
101390,아이엠
226350,아이엠텍
78860,아이오케이
